File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0067_f_034r.tif,67,discovery,f. 034r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/rn54mk18,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0068_f_034v.tif,68,discovery,f. 034v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/k533g224,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0069_f_035r.tif,69,discovery,f. 035r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/9z66rm90,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0070_f_035v.tif,70,discovery,f. 035v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/z769qp7g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0071_f_036r.tif,71,discovery,f. 036r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/pd39x69k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0072_f_036v.tif,72,discovery,f. 036v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/1w665264,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0073_f_037r.tif,73,discovery,f. 037r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/d078555x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0074_f_037v.tif,74,discovery,f. 037v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/kz16d14g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0075_f_038r.tif,75,discovery,f. 038r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/m154pg18,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0076_f_038v.tif,76,discovery,f. 038v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/qt67cw0j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
