"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0043_f_022r.tif","43","discovery","f. 022r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/wb51wj8q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fwb51wj8q"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0044_f_022v.tif","44","discovery","f. 022v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/js20d392","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fjs20d392"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0045_f_023r.tif","45","discovery","f. 023r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/1z13zx7p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F1z13zx7p"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0046_f_023v.tif","46","discovery","f. 023v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/8k83c95q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F8k83c95q"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0047_f_024r.tif","47","discovery","f. 024r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/fg74507s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Ffg74507s"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0048_f_024v.tif","48","discovery","f. 024v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/qx491k8v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fqx491k8v"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0049_f_025r.tif","49","discovery","f. 025r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/9h02nk00","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F9h02nk00"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0050_f_025v.tif","50","discovery","f. 025v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/bf01nf2p","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fbf01nf2p"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0051_f_026r.tif","51","discovery","f. 026r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/jz56kk4z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fjz56kk4z"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0052_f_026v.tif","52","discovery","f. 026v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/2t42pk9t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F2t42pk9t"
